Date, Open , High , Low , Close , Adj Close , Volume 
1/9/1992," 1,216.07 "," 1,216.07 "," 1,216.07 "," 1,216.07 "," 1,215.76 ", -   
1/10/1992," 1,227.68 "," 1,227.68 "," 1,227.68 "," 1,227.68 "," 1,227.36 ", -   
1/13/1992," 1,234.78 "," 1,234.78 "," 1,234.78 "," 1,234.78 "," 1,234.46 ", -   
1/14/1992," 1,247.02 "," 1,247.02 "," 1,247.02 "," 1,247.02 "," 1,246.70 ", -   
1/15/1992," 1,272.07 "," 1,272.07 "," 1,272.07 "," 1,272.07 "," 1,271.74 ", -   
1/16/1992," 1,286.08 "," 1,286.08 "," 1,286.08 "," 1,286.08 "," 1,285.75 ", -   
1/17/1992," 1,317.63 "," 1,317.63 "," 1,317.63 "," 1,317.63 "," 1,317.29 ", -   
1/20/1992," 1,314.78 "," 1,314.78 "," 1,314.78 "," 1,314.78 "," 1,314.44 ", -   
1/21/1992," 1,314.75 "," 1,314.75 "," 1,314.75 "," 1,314.75 "," 1,314.41 ", -   
1/22/1992," 1,294.67 "," 1,294.67 "," 1,294.67 "," 1,294.67 "," 1,294.34 ", -   
1/23/1992," 1,296.40 "," 1,296.40 "," 1,296.40 "," 1,296.40 "," 1,296.07 ", -   
1/24/1992," 1,293.27 "," 1,293.27 "," 1,293.27 "," 1,293.27 "," 1,292.94 ", -   
1/27/1992," 1,279.71 "," 1,279.71 "," 1,279.71 "," 1,279.71 "," 1,279.38 ", -   
1/28/1992," 1,241.08 "," 1,241.08 "," 1,241.08 "," 1,241.08 "," 1,240.76 ", -   
1/29/1992," 1,255.06 "," 1,255.06 "," 1,255.06 "," 1,255.06 "," 1,254.74 ", -   
1/30/1992," 1,246.09 "," 1,246.09 "," 1,246.09 "," 1,246.09 "," 1,245.77 ", -   
1/31/1992," 1,267.21 "," 1,267.21 "," 1,267.21 "," 1,267.21 "," 1,266.88 ", -   
2/3/1992," 1,280.57 "," 1,280.57 "," 1,280.57 "," 1,280.57 "," 1,280.24 ", -   
2/4/1992," 1,273.18 "," 1,273.18 "," 1,273.18 "," 1,273.18 "," 1,272.85 ", -   
2/5/1992," 1,263.26 "," 1,263.26 "," 1,263.26 "," 1,263.26 "," 1,262.94 ", -   
2/6/1992," 1,269.38 "," 1,269.38 "," 1,269.38 "," 1,269.38 "," 1,269.05 ", -   
2/7/1992," 1,264.36 "," 1,264.36 "," 1,264.36 "," 1,264.36 "," 1,264.03 ", -   
2/10/1992," 1,247.54 "," 1,247.54 "," 1,247.54 "," 1,247.54 "," 1,247.22 ", -   
2/11/1992," 1,221.52 "," 1,221.52 "," 1,221.52 "," 1,221.52 "," 1,221.21 ", -   
2/12/1992," 1,238.07 "," 1,238.07 "," 1,238.07 "," 1,238.07 "," 1,237.75 ", -   
